i;ID_QR;ID_xls;CHACRA_ID_QR;CANAL;LOTE;CHACRA;SUPERFICIE;ID_CAMPAÑA;ACTIVIDAD
1;Acceso Norte 1 1;Acceso Norte 1 1;Acceso Norte;1;1;Acceso Norte;3,6;ACCESO NORTE 2;MAIZ
2;Acceso Norte1 2;Acceso Norte 1 2;Acceso Norte;1;2;Acceso Norte;3,7;ACCESO NORTE 1;P. MANT.
3;Acceso Norte 1 3;Acceso Norte 1 3;Acceso Norte;1;3;Acceso Norte;3,7;ACCESO NORTE 2;MAIZ
4;Acceso Norte1 4;Acceso Norte 1 4;Acceso Norte;1;4;Acceso Norte;3,7;ACCESO NORTE 1;P. MANT.
5;Acceso Norte1 5;Acceso Norte 1 5;Acceso Norte;1;5;Acceso Norte;3,7;ACCESO NORTE 2;MAIZ
6;Acceso Norte1 6;Acceso Norte 1 6;Acceso Norte;1;6;Acceso Norte;3,8;ACCESO NORTE 1;P. MANT.
7;Acceso Norte1 7;Acceso Norte 1 7;Acceso Norte;1;7;Acceso Norte;3,6;ACCESO NORTE 2;MAIZ
8;Acceso Norte1 8;Acceso Norte 1 8;Acceso Norte;1;8;Acceso Norte;3,8;ACCESO NORTE 1;P. MANT.
9;Acceso Norte1 9;Acceso Norte 1 9;Acceso Norte;1;9;Acceso Norte;3,3;ACCESO NORTE 2;MAIZ
10;Acceso Norte1 10;Acceso Norte 1 10;Acceso Norte;1;10;Acceso Norte;3,4;ACCESO NORTE 1;P. MANT.
11;Acceso Norte1 11;Acceso Norte 1 11;Acceso Norte;1;11;Acceso Norte;3,4;ACCESO NORTE 2;MAIZ
12;Acceso Norte1 12;Acceso Norte 1 12;Acceso Norte;1;12;Acceso Norte;3,5;ACCESO NORTE 1;P. MANT.
13;Acceso Norte1 14;Acceso Norte 1 14;Acceso Norte;1;14;Acceso Norte;3,4;ACCESO NORTE 3;MAIZ
14;Acceso Norte1 16;Acceso Norte 1 16;Acceso Norte;1;16;Acceso Norte;3,1;ACCESO NORTE 3;MAIZ
15;Acceso Norte1 18;Acceso Norte 1 18;Acceso Norte;1;18;Acceso Norte;3,6;ACCESO NORTE 3;MAIZ
16;Acceso Norte1 19;Acceso Norte 1 19;Acceso Norte;1;19;Acceso Norte;2,7;ACCESO NORTE 2;MAIZ
17;Acceso Norte1 20;Acceso Norte 1 20;Acceso Norte;1;20;Acceso Norte;3,1;ACCESO NORTE 3;MAIZ
18;Acceso Norte1 21;Acceso Norte 1 21;Acceso Norte;1;21;Acceso Norte;2,6;ACCESO NORTE 2;MAIZ
19;Acceso Norte1 22;Acceso Norte 1 22;Acceso Norte;1;22;Acceso Norte;3;ACCESO NORTE 3;MAIZ
20;Acceso Norte1 23;Acceso Norte 1 23;Acceso Norte;1;23;Acceso Norte;2,7;ACCESO NORTE 2;MAIZ
21;Acceso Norte1 24;Acceso Norte 1 24;Acceso Norte;1;24;Acceso Norte;3,1;ACCESO NORTE 3;MAIZ
22;Acceso Norte1 25;Acceso Norte 1 25;Acceso Norte;1;25;Acceso Norte;2,8;ACCESO NORTE 2;MAIZ
23;Acceso Norte1 26;Acceso Norte 1 26;Acceso Norte;1;26;Acceso Norte;3;ACCESO NORTE 3;MAIZ
24;Acceso Norte1 27;Acceso Norte 1 27;Acceso Norte;1;27;Acceso Norte;2,6;ACCESO NORTE 2;MAIZ
25;Acceso Norte1 28;Acceso Norte 1 28;Acceso Norte;1;28;Acceso Norte;2,9;ACCESO NORTE 3;MAIZ
26;Acceso Norte1 29;Acceso Norte 1 29;Acceso Norte;1;29;Acceso Norte;2,4;ACCESO NORTE 2;MAIZ
27;Acceso Norte1 30;Acceso Norte 1 30;Acceso Norte;1;30;Acceso Norte;2,7;ACCESO NORTE 3;MAIZ
28;Acceso Norte1 31;Acceso Norte 1 31;Acceso Norte;1;31;Acceso Norte;2,3;ACCESO NORTE 2;MAIZ
29;Acceso Norte1 32;Acceso Norte 1 32;Acceso Norte;1;32;Acceso Norte;2,6;ACCESO NORTE 3;MAIZ
30;Acceso Norte1 33;Acceso Norte 1 33;Acceso Norte;1;33;Acceso Norte;2,3;ACCESO NORTE 2;MAIZ
31;Acceso Norte1 34;Acceso Norte 1 34;Acceso Norte;1;34;Acceso Norte;2,6;ACCESO NORTE 3;MAIZ
32;Acceso Norte1 35;Acceso Norte 1 35;Acceso Norte;1;35;Acceso Norte;2,2;ACCESO NORTE 2;MAIZ
33;Acceso Norte1 36;Acceso Norte 1 36;Acceso Norte;1;36;Acceso Norte;2,5;ACCESO NORTE 3;MAIZ
34;Acceso Norte1 37;Acceso Norte 1 37;Acceso Norte;1;37;Acceso Norte;2,2;ACCESO NORTE 2;MAIZ
35;Acceso Norte1 38;Acceso Norte 1 38;Acceso Norte;1;38;Acceso Norte;2,4;ACCESO NORTE 3;MAIZ
36;Acceso Norte1 39;Acceso Norte 1 39;Acceso Norte;1;39;Acceso Norte;2,3;ACCESO NORTE 2;MAIZ
37;Acceso Norte1 40;Acceso Norte 1 40;Acceso Norte;1;40;Acceso Norte;2,5;ACCESO NORTE 3;MAIZ
38;Acceso Norte1 41;Acceso Norte 1 41;Acceso Norte;1;41;Acceso Norte;2,1;ACCESO NORTE 2;MAIZ
39;Acceso Norte1 42;Acceso Norte 1 42;Acceso Norte;1;42;Acceso Norte;2,3;ACCESO NORTE 3;MAIZ
40;Acceso Norte1 43;Acceso Norte 1 43;Acceso Norte;1;43;Acceso Norte;1,1;ACCESO NORTE 2;MAIZ
41;Acceso Norte1 44;Acceso Norte 1 44;Acceso Norte;1;44;Acceso Norte;1,2;ACCESO NORTE 3;MAIZ
42;Acceso Norte2 1;Acceso Norte 2 1;Acceso Norte;2;1;Acceso Norte;3,9;ACCESO NORTE 1;P. MANT.
43;Acceso Norte2 2;Acceso Norte 2 2;Acceso Norte;2;2;Acceso Norte;3,7;ACCESO NORTE 1;P. MANT.
44;Acceso Norte2 3;Acceso Norte 2 3;Acceso Norte;2;3;Acceso Norte;3,8;ACCESO NORTE 1;P. MANT.
45;Acceso Norte2 4;Acceso Norte 2 4;Acceso Norte;2;4;Acceso Norte;3,8;ACCESO NORTE 1;P. MANT.
46;Acceso Norte2 5;Acceso Norte 2 5;Acceso Norte;2;5;Acceso Norte;3,8;ACCESO NORTE 1;P. MANT.
47;Acceso Norte2 6;Acceso Norte 2 6;Acceso Norte;2;6;Acceso Norte;3,7;ACCESO NORTE 1;P. MANT.
48;Acceso Norte2 7;Acceso Norte 2 7;Acceso Norte;2;7;Acceso Norte;3,9;ACCESO NORTE 1;P. MANT.
49;Acceso Norte2 8;Acceso Norte 2 8;Acceso Norte;2;8;Acceso Norte;4;ACCESO NORTE 1;P. MANT.
50;Acceso Norte2 9;Acceso Norte 2 9;Acceso Norte;2;9;Acceso Norte;3,5;ACCESO NORTE 3;MAIZ
51;Acceso Norte2 11;Acceso Norte 2 11;Acceso Norte;2;11;Acceso Norte;3,5;ACCESO NORTE 3;MAIZ
52;Acceso Norte2 13;Acceso Norte 2 13;Acceso Norte;2;13;Acceso Norte;3,4;ACCESO NORTE 3;MAIZ
53;Acceso Norte2 15;Acceso Norte 2 15;Acceso Norte;2;15;Acceso Norte;3,2;ACCESO NORTE 3;MAIZ
54;Acceso Norte2 16;Acceso Norte 2 16;Acceso Norte;2;16;Acceso Norte;3,2;ACCESO NORTE 4;P. MANT.
55;Acceso Norte2 17;Acceso Norte 2 17;Acceso Norte;2;17;Acceso Norte;3,5;ACCESO NORTE 3;MAIZ
56;Acceso Norte2 18;Acceso Norte 2 18;Acceso Norte;2;18;Acceso Norte;3,4;ACCESO NORTE 4;P. MANT.
57;Acceso Norte2 19;Acceso Norte 2 19;Acceso Norte;2;19;Acceso Norte;3,1;ACCESO NORTE 3;MAIZ
58;Acceso Norte2 20;Acceso Norte 2 20;Acceso Norte;2;20;Acceso Norte;3,1;ACCESO NORTE 4;P. MANT.
59;Acceso Norte2 21;Acceso Norte 2 21;Acceso Norte;2;21;Acceso Norte;3;ACCESO NORTE 3;MAIZ
60;Acceso Norte2 22;Acceso Norte 2 22;Acceso Norte;2;22;Acceso Norte;2,9;ACCESO NORTE 4;P. MANT.
61;Acceso Norte2 23;Acceso Norte 2 23;Acceso Norte;2;23;Acceso Norte;3;ACCESO NORTE 3;MAIZ
62;Acceso Norte2 24;Acceso Norte 2 24;Acceso Norte;2;24;Acceso Norte;3;ACCESO NORTE 4;P. MANT.
63;Acceso Norte2 25;Acceso Norte 2 25;Acceso Norte;2;25;Acceso Norte;2,9;ACCESO NORTE 3;MAIZ
64;Acceso Norte2 26;Acceso Norte 2 26;Acceso Norte;2;26;Acceso Norte;2,8;ACCESO NORTE 4;P. MANT.
65;Acceso Norte2 27;Acceso Norte 2 27;Acceso Norte;2;27;Acceso Norte;2,8;ACCESO NORTE 3;MAIZ
66;Acceso Norte2 28;Acceso Norte 2 28;Acceso Norte;2;28;Acceso Norte;2,8;ACCESO NORTE 4;P. MANT.
67;Acceso Norte2 29;Acceso Norte 2 29;Acceso Norte;2;29;Acceso Norte;2,6;ACCESO NORTE 3;MAIZ
68;Acceso Norte2 30;Acceso Norte 2 30;Acceso Norte;2;30;Acceso Norte;2,6;ACCESO NORTE 4;P. MANT.
